property_id,propertyType,price,size,rooms,bathrooms,municipality,neighborhood,neighborhood_id,district,latitude,longitude,hasLift,exterior,status,distance,data_year
91965832,chalet,2750000.0,280.0,3,3,Barcelona,Les Tres Torres,Q3297896,Sarrià-Sant Gervasi,41.3970757,2.1344179,,false,good,802.0,2020
91965866,flat,102000.0,50.0,2,1,Cornellà de Llobregat,,,Sant Ildefons,41.3587294,2.0830801,false,true,good,2560.0,2020
91966198,duplex,680000.0,185.0,4,2,Sant Joan Despí,,,Eixample,41.3668497,2.0544408,true,true,good,1124.0,2020
91966641,flat,800000.0,114.0,4,2,Sant Feliu de Llobregat,,,Roses - Castellbell,41.3854026,2.0500404,true,true,good,3181.0,2020
91966642,flat,850000.0,136.0,4,2,Sant Feliu de Llobregat,,,Roses - Castellbell,41.3834026,2.0527404,true,true,good,2952.0,2020
91966644,chalet,500000.0,269.0,6,3,Sant Just Desvern,,,,41.383141,2.0766454,,false,renew,2136.0,2020
91966681,flat,185000.0,62.0,2,1,Barcelona,El Coll,Q1932090,Gràcia,41.4156885,2.1436425,false,true,good,294.0,2020
91966920,chalet,975000.0,362.0,4,2,Sant Cugat del Vallès,,,Mirasol,41.4628068,2.0612446,,false,renew,1649.0,2020
91967151,flat,405000.0,100.0,4,2,Barcelona,El Poble Sec - Parc de Montjuïc,Q980253,Sants-Montjuïc,41.3736039,2.15554,true,true,good,2705.0,2020
91967166,flat,149000.0,70.0,3,1,Sant Boi de Llobregat,,,Marianao,41.3485277,2.0330767,true,true,good,1866.0,2020
91967177,flat,420500.0,84.0,2,2,Sant Cugat del Vallès,,,Centre - Estació,41.4718,2.0857408,true,true,good,1816.0,2020
91967331,duplex,330000.0,122.0,4,2,Hospitalet de Llobregat,Sanfeliu,,Centre,41.3666359,2.0921596,true,true,good,359.0,2020
91967495,flat,368600.0,56.0,2,2,Sant Cugat del Vallès,,,Centre - Estació,41.4725,2.0832408,true,true,good,1839.0,2020
91968063,flat,159000.0,85.0,3,1,El Prat de Llobregat,,,Once de Septiembre - Sant Jordi,41.31496,2.08614,true,true,good,2818.0,2020
91968115,chalet,1300000.0,423.0,6,3,Sant Boi de Llobregat,,,Marianao,41.3480285,2.0298978,,false,good,2125.0,2020
91971540,chalet,1050000.0,128.0,3,4,Barcelona,Sants,Q2476184,Sants-Montjuïc,41.3791834,2.1301499,,false,good,2488.0,2020
91973284,flat,340000.0,80.0,4,2,Barcelona,La Maternitat i Sant Ramon,Q3297056,Les Corts,41.3755469,2.1159308,true,false,good,2475.0,2020
91974672,flat,135000.0,80.0,3,2,El Prat de Llobregat,,,Once de Septiembre - Sant Jordi,41.3165348,2.0851975,false,false,good,2731.0,2020
91975050,flat,308000.0,97.0,3,2,Viladecans,,,Campreciós - Torre Roja,41.3201392,2.0190529,true,false,good,2814.0,2020
91975057,flat,126000.0,65.0,3,1,Viladecans,,,Parc Empresarial,41.3207551,2.0264963,false,false,renew,2820.0,2020
91975491,flat,395000.0,97.0,2,2,Barcelona,Sants,Q2476184,Sants-Montjuïc,41.3735788,2.1382702,false,false,good,1932.0,2020
91975581,flat,104000.0,66.0,3,1,Hospitalet de Llobregat,Pubilla Cases,,Can Serra - Pubilla Cases,41.3690334,2.1020537,false,false,good,326.0,2020
91975639,flat,87200.0,53.0,3,1,Hospitalet de Llobregat,Santa Eulàlia,,Santa Eulàlia,41.3648849,2.1258847,false,false,good,1030.0,2020
91975645,flat,91300.0,55.0,3,1,Hospitalet de Llobregat,La Torrasa,,La Torrasa,41.3718786,2.1187186,false,false,good,2006.0,2020
91976910,flat,625000.0,130.0,4,2,Sant Joan Despí,,,Eixample,41.3658014,2.0569931,true,true,good,1064.0,2020
91976914,flat,645000.0,110.0,3,2,Barcelona,L'Antiga Esquerra de l'Eixample,Q3291762,Eixample,41.3895392,2.1553507,true,true,good,651.0,2020
91976966,chalet,1765000.0,575.0,5,5,Sant Just Desvern,,,,41.3913158,2.0740739,,false,good,2422.0,2020
91977434,chalet,1325000.0,897.0,6,5,Sant Cugat del Vallès,,,Valldoreix,41.4573912,2.0386475,,false,good,2604.0,2021
91977441,chalet,650000.0,680.0,3,2,Sant Cugat del Vallès,,,Valldoreix,41.4565939,2.0356424,,false,good,2649.0,2021
91977456,chalet,1350000.0,512.0,5,5,Sant Cugat del Vallès,,,Valldoreix,41.4546714,2.0387861,,false,good,2331.0,2021
91977656,flat,292900.0,79.0,1,1,Barcelona,Sants,Q2476184,Sants-Montjuïc,41.3743823,2.1370858,false,false,good,1995.0,2020
91977734,flat,625000.0,145.0,2,2,Barcelona,Sant Gervasi - Galvany,Q3389521,Sarrià-Sant Gervasi,41.400239,2.147527,true,true,good,607.0,2020
91978351,flat,387000.0,87.0,3,2,Barcelona,La Nova Esquerra de l'Eixample,Q1026658,Eixample,41.3812687,2.1519448,true,true,good,3183.0,2020
91979454,duplex,299000.0,120.0,3,2,Sant Boi de Llobregat,,,Marianao,41.3489466,2.0251805,true,true,good,2443.0,2020
91983336,flat,345000.0,83.0,2,2,Barcelona,El Poble Sec - Parc de Montjuïc,Q980253,Sants-Montjuïc,41.3706147,2.1566618,true,true,good,429.0,2020
91984207,flat,524500.0,183.0,4,1,Sant Cugat del Vallès,,,Mirasol,41.4711573,2.0456888,,false,good,3232.0,2020
91984233,flat,119000.0,40.0,3,1,Hospitalet de Llobregat,Pubilla Cases,,Can Serra - Pubilla Cases,41.3744518,2.1050475,,false,good,2983.0,2020
91986049,duplex,345000.0,147.0,3,3,Sant Boi de Llobregat,,,Marianao,41.3448649,2.0298238,true,true,good,2314.0,2020
91987092,flat,335000.0,121.0,3,2,Sant Joan Despí,,,Eixample,41.3665572,2.0526897,true,true,good,1080.0,2020
91989297,flat,188700.0,55.0,2,1,Hospitalet de Llobregat,Pubilla Cases,,Can Serra - Pubilla Cases,41.3748753,2.1039617,true,true,good,3082.0,2020
91989418,flat,240500.0,71.0,3,1,Barcelona,El Poble Sec - Parc de Montjuïc,Q980253,Sants-Montjuïc,41.3707906,2.1704815,true,false,renew,461.0,2020
91991973,flat,150000.0,51.0,1,1,Barcelona,El Poble Sec - Parc de Montjuïc,Q980253,Sants-Montjuïc,41.3727594,2.1590987,false,true,good,2869.0,2020
91992223,flat,200000.0,70.0,3,1,Hospitalet de Llobregat,Santa Eulàlia,,Santa Eulàlia,41.3659164,2.1165863,true,true,good,1636.0,2020
91992343,flat,462000.0,127.0,3,2,Barcelona,Sant Antoni,Q720994,Eixample,41.3835404,2.1617695,true,true,renew,617.0,2020
91993240,flat,252000.0,112.0,3,2,Sant Boi de Llobregat,,,Camps Blancs - Casablanca - Canons,41.3354822,2.0381838,true,true,good,2658.0,2020
91996422,flat,159000.0,76.0,4,1,Hospitalet de Llobregat,Centre,,Centre,41.3624203,2.0962337,true,true,good,483.0,2020
91996613,flat,410000.0,101.0,4,2,Barcelona,La Maternitat i Sant Ramon,Q3297056,Les Corts,41.3760791,2.1261518,true,false,good,2194.0,2020
91997000,flat,540000.0,198.0,4,3,Sant Cugat del Vallès,,,Sant Domènec,41.4764282,2.0761738,false,true,good,2254.0,2020
91997229,flat,277000.0,101.0,3,2,Viladecans,,,Campreciós - Torre Roja,41.3233639,2.0222618,true,true,newdevelopment,2941.0,2020
91997261,flat,198000.0,76.0,2,1,Viladecans,,,Campreciós - Torre Roja,41.3233639,2.0222618,true,true,newdevelopment,2941.0,2020
91997290,flat,337000.0,134.0,3,2,Viladecans,,,Campreciós - Torre Roja,41.3233639,2.0222618,true,true,newdevelopment,2941.0,2020
91997463,flat,298000.0,87.0,2,1,Barcelona,Sants,Q2476184,Sants-Montjuïc,41.3717968,2.1373272,true,true,good,1720.0,2020
91997714,flat,109000.0,60.0,3,1,Hospitalet de Llobregat,Collblanc,,Collblanc,41.3722395,2.1145559,false,false,good,2248.0,2020
91998033,flat,366700.0,51.0,2,2,Sant Cugat del Vallès,,,Golf,41.4580163,2.0700981,,false,good,767.0,2020
91998034,flat,420500.0,70.0,2,1,Sant Cugat del Vallès,,,Golf,41.4573163,2.0712981,,false,good,653.0,2020
91998041,flat,382500.0,55.0,2,2,Sant Cugat del Vallès,,,Golf,41.4561163,2.0715981,,false,good,617.0,2020
91998047,flat,366700.0,51.0,2,2,Sant Cugat del Vallès,,,Golf,41.4581163,2.0705981,,true,good,730.0,2020
91998196,flat,575000.0,103.0,4,2,Sant Cugat del Vallès,,,Parc Central - Colomer,41.4760696,2.0721863,true,true,good,2274.0,2020
91998226,flat,700000.0,147.0,4,3,Sant Cugat del Vallès,,,Centre - Estació,41.4701775,2.0875517,true,true,good,1703.0,2020
91998279,flat,115000.0,45.0,2,1,Hospitalet de Llobregat,La Torrasa,,La Torrasa,41.3683193,2.1207482,false,false,good,375.0,2021
91998608,flat,157000.0,60.0,3,1,Hospitalet de Llobregat,Pubilla Cases,,Can Serra - Pubilla Cases,41.3738376,2.1026156,true,false,good,3097.0,2020
91998611,flat,139000.0,45.0,2,1,Hospitalet de Llobregat,Santa Eulàlia,,Santa Eulàlia,41.3633788,2.1197619,true,true,good,384.0,2020
91998777,flat,430000.0,108.0,4,2,Barcelona,La Maternitat i Sant Ramon,Q3297056,Les Corts,41.3827021,2.1263937,true,true,good,2913.0,2020
91999157,penthouse,785000.0,199.0,4,2,Sant Cugat del Vallès,,,Torreblanca,41.4719859,2.0960268,true,false,good,2251.0,2020
91999334,flat,275000.0,80.0,2,2,Sant Just Desvern,,,,41.3857687,2.0737787,true,true,good,2039.0,2020
91999420,penthouse,210000.0,90.0,3,1,Hospitalet de Llobregat,Can Serra,,Can Serra - Pubilla Cases,41.3673758,2.098273,true,true,good,3050.0,2020
91999423,flat,85000.0,40.0,2,1,Hospitalet de Llobregat,La Florida,,La Florida - Les Planes,41.3708696,2.1091854,false,false,good,459.0,2020
91999469,flat,126810.0,71.0,2,2,Viladecans,,,Campreciós - Torre Roja,41.321309,2.0272696,true,true,newdevelopment,2731.0,2020
91999503,penthouse,310000.0,106.0,3,1,Sant Just Desvern,,,,41.3790275,2.078148,false,true,good,2155.0,2020
91999688,penthouse,445000.0,110.0,4,2,Sant Just Desvern,,,,41.3846891,2.0744702,true,true,good,2035.0,2020
91999828,flat,550000.0,150.0,4,2,Sant Feliu de Llobregat,,,Roses - Castellbell,41.3807659,2.054562,false,true,good,2665.0,2020
92000223,duplex,590000.0,140.0,4,2,Sant Feliu de Llobregat,,,Roses - Castellbell,41.3832659,2.054262,false,true,good,2941.0,2020
92000549,chalet,590000.0,290.0,5,3,Sant Feliu de Llobregat,,,Roses - Castellbell,41.3799475,2.0517983,,false,good,2569.0,2020
92000617,penthouse,650000.0,225.0,4,2,Sant Joan Despí,,,Torreblanca - Pla del Vent,41.3797937,2.0618687,true,true,good,2668.0,2020
92000649,flat,420000.0,81.0,3,2,Barcelona,Vallcarca i els Penitents,Q2057331,Gràcia,41.4152749,2.1391716,true,false,good,509.0,2020
92000664,flat,650000.0,225.0,4,2,Sant Joan Despí,,,Torreblanca - Pla del Vent,41.3802937,2.0622687,true,true,good,2731.0,2020
92000730,chalet,690000.0,445.0,3,1,Sant Just Desvern,,,,41.3826687,2.0739787,,false,good,1909.0,2020
92000875,chalet,1295000.0,200.0,4,3,Sant Just Desvern,,,,41.3844394,2.0701014,,false,good,1699.0,2020
92001453,flat,359000.0,126.0,4,2,Barcelona,Sants,Q2476184,Sants-Montjuïc,41.3703682,2.1334204,true,true,good,1508.0,2020
92002091,flat,410000.0,101.0,4,2,Barcelona,La Maternitat i Sant Ramon,Q3297056,Les Corts,41.3779791,2.1254518,true,true,good,2413.0,2020
92002158,flat,290000.0,79.0,2,2,Hospitalet de Llobregat,Centre,,Centre,41.3622454,2.099056,true,true,good,2816.0,2020
92002229,flat,360000.0,107.0,3,2,Hospitalet de Llobregat,Centre,,Centre,41.3622454,2.099056,true,true,good,2816.0,2020
92002486,flat,163000.0,70.0,3,1,Hospitalet de Llobregat,Pubilla Cases,,Can Serra - Pubilla Cases,41.37242,2.10103,true,true,good,3112.0,2020
92002832,flat,159000.0,61.0,3,2,Hospitalet de Llobregat,Can Serra,,Can Serra - Pubilla Cases,41.3662842,2.0983978,false,false,good,2996.0,2020
92002837,flat,217000.0,72.0,4,1,Barcelona,Sants,Q2476184,Sants-Montjuïc,41.3792557,2.135577,false,true,renew,2509.0,2020
92002868,flat,145000.0,54.0,2,1,Sant Boi de Llobregat,,,Centre - Casco Antiguo,41.3435366,2.0373758,false,false,good,1944.0,2020
92002875,flat,200000.0,71.0,3,1,Barcelona,La Marina del Port,Q3751076,Sants-Montjuïc,41.3601067,2.1402629,true,false,good,777.0,2020
92002982,flat,199000.0,67.0,3,1,Hospitalet de Llobregat,Collblanc,,Collblanc,41.3704277,2.117281,true,true,good,1948.0,2020
92006774,flat,158000.0,80.0,3,1,Sant Just Desvern,,,,41.3816,2.08346,true,true,renew,2639.0,2020
92007096,flat,375000.0,100.0,3,2,Sant Just Desvern,,,,41.38293,2.07023,true,true,good,1631.0,2020
92007905,flat,420000.0,90.0,4,2,Barcelona,La Maternitat i Sant Ramon,Q3297056,Les Corts,41.3762469,2.1142308,true,true,good,2619.0,2020
92008210,flat,229000.0,150.0,3,2,Barcelona,Sants,Q2476184,Sants-Montjuïc,41.3737641,2.1348229,true,false,good,1895.0,2020
92008831,flat,113500.0,65.0,3,1,Cornellà de Llobregat,,,Sant Ildefons,41.3618955,2.0811688,true,true,renew,2457.0,2020
92008916,flat,147000.0,68.0,3,1,Cornellà de Llobregat,,,Sant Ildefons,41.3613303,2.0838384,true,true,good,2662.0,2020
92009078,penthouse,325000.0,110.0,3,1,Barcelona,La Marina del Port,Q3751076,Sants-Montjuïc,41.3646073,2.1355616,true,true,good,912.0,2020
92009923,duplex,294000.0,95.0,3,2,Cornellà de Llobregat,,,Centre,41.3553175,2.0716129,false,true,good,1604.0,2020
92010324,flat,359000.0,126.0,4,2,Barcelona,Sants,Q2476184,Sants-Montjuïc,41.3718682,2.1341204,true,true,renew,1679.0,2020
92011637,flat,186500.0,62.0,3,1,Sant Feliu de Llobregat,,,Can Calders,41.3847572,2.0466084,true,true,good,3142.0,2020
92011664,flat,465000.0,122.0,3,2,Barcelona,La Nova Esquerra de l'Eixample,Q1026658,Eixample,41.3816973,2.1431257,true,false,good,2914.0,2020
92012123,flat,550000.0,80.0,2,2,Barcelona,El Putxet i el Farró,Q3321805,Sarrià-Sant Gervasi,41.4123043,2.1396699,true,true,good,530.0,2020
92012435,flat,220000.0,116.0,3,2,Hospitalet de Llobregat,Can Serra,,Can Serra - Pubilla Cases,41.3676432,2.0992173,false,true,good,2989.0,2020
92012510,penthouse,212500.0,66.0,3,1,Barcelona,Sants,Q2476184,Sants-Montjuïc,41.373142,2.1337947,false,true,good,1818.0,2020
92012668,flat,105900.0,59.0,2,1,Hospitalet de Llobregat,Pubilla Cases,,Can Serra - Pubilla Cases,41.3738499,2.1017155,true,false,good,3158.0,2020
92012924,flat,154800.0,52.0,2,1,Sant Just Desvern,,,,41.3792094,2.0735992,false,true,good,3046.0,2020
92013008,flat,220000.0,64.0,3,1,Barcelona,Hostafrancs,Q3750929,Sants-Montjuïc,41.3779524,2.1467305,true,true,renew,2648.0,2020
92013198,duplex,499000.0,140.0,3,3,Sant Just Desvern,,,,41.3819186,2.0798775,true,true,good,2355.0,2020
92013267,chalet,750000.0,200.0,4,1,Sant Just Desvern,,,,41.3890419,2.0765722,,false,good,2429.0,2020
92013343,chalet,795000.0,150.0,4,1,Sant Just Desvern,,,,41.3881414,2.0786384,,false,good,2522.0,2020
