bathrooms,distance,district,exterior,hasLift,latitude,longitude,neighborhood,price,propertyType,rooms,size,status,avg_income_index,density_val,price_m2
2,2212.0,Les Corts,true,true,41.376182,2.1257851,La Maternitat i Sant Ramon,378500.0,flat,4,110.0,good,19557.266666666666,125.0,3440.909090909091
1,844.0,Sants-Montjuïc,false,true,41.3633384,2.1372753,La Marina del Port,198000.0,flat,3,65.0,good,12917.0,247.0,3046.153846153846
1,756.0,Sants-Montjuïc,false,true,41.3621075,2.1377797,La Marina del Port,198000.0,flat,3,70.0,good,12917.0,247.0,2828.5714285714284
1,3173.0,Sants-Montjuïc,true,true,41.370184,2.1656447,El Poble Sec - Parc de Montjuïc,230000.0,flat,2,66.0,good,12629.916666666666,88.0,3484.848484848485
3,778.0,Sarrià-Sant Gervasi,true,true,41.4035056,2.1278735,Les Tres Torres,1150000.0,flat,3,164.0,good,30122.81818181818,211.0,7012.195121951219
2,3230.0,Eixample,true,true,41.3800861,2.1552502,La Nova Esquerra de l'Eixample,475000.0,flat,5,148.0,renew,19287.175,437.0,3209.4594594594596
9,2759.0,Sarrià-Sant Gervasi,false,false,41.4085165,2.1103355,Sarrià,4950000.0,chalet,8,765.0,good,25727.3125,83.0,6470.588235294118
1,817.0,Les Corts,true,true,41.3917641,2.1239005,Pedralbes,435000.0,penthouse,2,75.0,renew,28626.85714285714,44.0,5800.0
1,1023.0,Sants-Montjuïc,true,false,41.3645336,2.1387753,La Marina del Port,70000.0,flat,3,75.0,good,12917.0,247.0,933.3333333333334
1,631.0,Gràcia,true,false,41.4019072,2.1592846,Vila de Gràcia,395000.0,flat,2,76.0,good,17882.472222222223,385.0,5197.368421052632
1,1973.0,Sants-Montjuïc,true,true,41.3733829,2.1406179,La Bordeta,190000.0,flat,3,65.0,good,15354.0,342.0,2923.076923076923
2,3160.0,Eixample,true,true,41.3817979,2.1501685,La Nova Esquerra de l'Eixample,520000.0,flat,3,89.0,newdevelopment,19287.175,437.0,5842.696629213483
1,2038.0,Sants-Montjuïc,true,false,41.3721758,2.1454189,La Font de la Guatlla,294000.0,flat,2,76.0,good,15888.0,349.0,3868.4210526315787
1,3211.0,Sants-Montjuïc,true,true,41.3848507,2.1414402,Sants,329000.0,flat,3,84.0,good,16581.137931034482,399.0,3916.6666666666665
2,3178.0,Ciutat Vella,true,true,41.381367,2.1781232,El Gòtic,695000.0,flat,3,144.0,good,12564.777777777777,265.0,4826.388888888889
1,3147.0,Eixample,true,true,41.381846,2.1497258,La Nova Esquerra de l'Eixample,255000.0,flat,2,53.0,good,19287.175,437.0,4811.320754716981
